Temperature ni=1e17 ni=5e17 ni=1e18 ni=5e18 ni=1e19
eV
0.5401 0.220377804 0.119798778 0.0947363917 0.0669298115 0.0665149406
0.5501 0.243720161 0.132744637 0.104791543 0.0731466454 0.0719989735
0.5601 0.268066472 0.146449201 0.115452682 0.0796984174 0.0777385446
0.5701 0.293308675 0.160895841 0.126714134 0.0865843451 0.0837319945
0.5801 0.319325682 0.176062189 0.138566763 0.0938024217 0.0899769903
0.5901 0.345984785 0.191920213 0.150997651 0.101349397 0.0964704232
0.6001 0.373143797 0.208436365 0.163990251 0.109220795 0.103208434
0.6101 0.400653425 0.225571886 0.17752467 0.117410933 0.110186439
0.6201 0.428359898 0.243282721 0.191577572 0.125912949 0.117399151
0.6301 0.456107762 0.261520532 0.206122342 0.134718837 0.124840606
0.6401 0.483742556 0.28023285 0.221129326 0.143819492 0.132504196
0.6501 0.511114561 0.299363186 0.236566134 0.153204757 0.140382634
0.6601 0.53808022 0.31885233 0.252397537 0.162863484 0.148468235
0.6701 0.564505592 0.338638156 0.268586236 0.172783593 0.156752617
0.6801 0.590268359 0.358656996 0.285092878 0.182952145 0.165226953
0.6901 0.615259682 0.378843923 0.30187645 0.193355411 0.17388193
0.7001 0.639385492 0.399133526 0.318894734 0.203978958 0.182707925
0.7101 0.662567872 0.419460481 0.336104268 0.214807723 0.191694871
0.7201 0.684745066 0.439760734 0.353461282 0.22582608 0.20083242
0.7301 0.705870445 0.459971428 0.370921708 0.237018096 0.210109963
0.7401 0.725914282 0.480032002 0.388441638 0.24836715 0.21951668
0.7501 0.74486109 0.499884657 0.405977675 0.2598567 0.229041592
0.7601 0.76270888 0.519474993 0.423487287 0.271469971 0.238673606
0.7701 0.779467792 0.53875198 0.440929127 0.283189769 0.248401567
0.7801 0.795157692 0.557669077 0.458263345 0.294999202 0.258214406
0.7901 0.80980911 0.576184032 0.475451859 0.306881467 0.268100792
0.8001 0.823457816 0.594258897 0.492458607 0.318819637 0.278049745
0.8101 0.836145801 0.611861541 0.509249507 0.330797274 0.288050313
0.8201 0.847919105 0.628963571 0.525793657 0.342798168 0.298091699
0.8301 0.858826474 0.645541789 0.542061937 0.354806482 0.308163303
0.8401 0.86891813 0.661577719 0.55802815 0.366806819 0.318254752
0.8501 0.878245588 0.677057457 0.573668832 0.378784276 0.328355934
0.8601 0.886857899 0.69197146 0.58896329 0.390724496 0.338457029
0.8701 0.89480538 0.706314291 0.603893601 0.402613715 0.348548532
0.8801 0.902136013 0.720084244 0.618444583 0.414438799 0.358621281
0.8901 0.908895894 0.73328387 0.632603737 0.42618728 0.368666473
0.9001 0.915128958 0.745917017 0.646361162 0.437847379 0.378675683
0.9101 0.920876812 0.757992145 0.659709448 0.449408033 0.388640881
0.9201 0.926178648 0.769519567 0.672643449 0.460858904 0.39855444
0.9301 0.931071219 0.780511722 0.685160574 0.472190392 0.408409144
0.9401 0.935588909 0.790982848 0.697260413 0.483393642 0.418198201
0.9501 0.93976296 0.800948671 0.708943147 0.494460537 0.427915239
0.9601 0.943624805 0.810426113 0.720212238 0.5053837 0.43755431
0.9701 0.94720123 0.819433094 0.731072191 0.51615648 0.447109891
0.9801 0.950517992 0.827987388 0.741528927 0.526772942 0.456576877
0.9901 0.953599048 0.836109442 0.751589624 0.53722785 0.465950583
1.0001 0.956466704 0.843817776 0.761262558 0.547516648 0.475226729
1.0101 0.959141776 0.8511318 0.77055696 0.557635437 0.484401438
1.0201 0.961643751 0.858070901 0.779482866 0.567580956 0.493471227
1.0301 0.963990933 0.864654324 0.788050996 0.577350552 0.502432992
1.0401 0.966200603 0.870901082 0.796272704 0.586941824 0.511284002
1.0501 0.968289155 0.876829879 0.8041589 0.596353944 0.520021885
1.0601 0.970272241 0.882459056 0.81172315 0.605585572 0.528644614
1.0701 0.972164901 0.887806549 0.818977018 0.614636224 0.537150498
1.0801 0.973981691 0.892889869 0.825933026 0.623505885 0.545538164
1.0901 0.975736804 0.897726036 0.832603811 0.632194984 0.553806547
1.1001 0.977444182 0.902332495 0.839002069 0.640704367 0.561954875
1.1101 0.979117625 0.90672382 0.845140505 0.649035268 0.569982655
1.1201 0.980770894 0.91091665 0.851031796 0.657189284 0.577889662
1.1301 0.982417801 0.914926359 0.856688559 0.66516835 0.585675922
1.1401 0.984072297 0.918767947 0.862123326 0.672974713 0.593341704
